更新时间_UpDt,A股股票代码_A_StkCd,A股股票简称_A_LStkNm,基本每股收益(元/股)_BasEPS,净资产收益率_TTM(%)_ROETTM,总资产报酬率(%)_ROAEBIT,营业利润率(%)_Opeprfrt,流动比率(%)_Currt,速动比率(%)_Qckrt,经营活动产生现金流量净额/负债合计(%)_NOCFtotlia,经营活动产生现金流量净额/流动负债(%)_NOCFtotcurlia,营业收入同比增长(%)_OperIncYoY,利润总额同比增长(%)_TotProfYoY,总资产同比增长(%)_TotAssYoY,存货周转率_InvTrturovRt,应收账款周转率(次)_ARTrat,总资产周转率_Totassrat,资产负债率(%)_Dbastrt
2023/6/16,688336,三生国健,0.03,0.3976,-1.5713,-4.6974,13.328,12.3527,-0.6971,-1.1315,41.8013,81.0955,-1.3128,0.9651,5.3813,0.1887,7.1537
2023/6/16,688336,三生国健,0,1.095,-0.2863,-3.2148,14.2147,13.0815,0.2426,0.399,3.3409,85.5756,0.8977,0.1873,0.7501,0.0329,6.7944
2023/8/25,688336,三生国健,-0.01,-0.2541,-1.05,-6.7282,11.2115,10.3193,0.2876,0.4264,-28.853,-123.4042,-0.1513,0.3957,1.6613,0.0694,7.811
2023/10/18,688336,三生国健,0,0.2961,-0.7465,-2.8684,8.2155,7.5419,0.288,0.3832,-16.0292,58.3988,4.1347,0.5958,2.7145,0.1062,9.666
2023/6/16,688336,三生国健,0.08,1.0703,0.2056,4.4754,7.9616,7.3564,0.468,0.6225,-11.1234,154.2369,4.2867,0.9205,4.1371,0.1653,9.7851
2023/6/16,688336,三生国健,0.08,1.0703,0.2056,4.4754,7.9616,7.3564,0.468,0.6225,-11.1234,154.2369,4.2867,0.9205,4.1371,0.1653,9.7851
2023/8/24,688336,三生国健,0.08,1.0703,0.2056,4.4754,7.9616,7.3564,0.468,0.6225,-11.1234,154.2369,4.2867,0.9205,4.1371,0.1653,9.7851
2023/10/18,688336,三生国健,0.08,1.0703,0.2056,4.4754,7.9616,7.3564,0.468,0.6225,-11.1234,154.2369,4.2867,0.9205,4.1371,0.1653,9.7851
2023/6/16,688336,三生国健,0.05,1.7784,0.4784,15.887,13.9291,12.9399,0.1721,0.2755,29.1743,519.9207,1.6528,0.2689,1.5626,0.0413,6.4562
2023/8/25,688336,三生国健,0.15,3.2134,1.5279,19.9293,10.8239,10.0097,0.469,0.7186,40.2849,454.0576,2.344,0.5816,3.1882,0.0943,6.8237
2023/10/18,688336,三生国健,0.27,4.4396,2.7887,23.8734,9.8985,9.182,0.796,1.1613,38.5415,927.9482,1.6697,0.8253,5.2557,0.1429,7.1734
2023/6/16,688432,有研硅,0.15,7.5528,6.7363,19.2529,4.397,3.9011,0.4816,0.8829,56.1604,63.9733,29.7526,3.9996,6.7993,0.3298,22.5092
2023/6/16,688432,有研硅,0.06,,2.4426,26.5037,5.3656,5.3656,0.1511,0.2993,104.1754,242.4677,,,,0.0944,20.0436
2023/8/9,688432,有研硅,0.17,15.4896,7.3086,36.695,6.3934,5.7497,0.3623,0.7567,73.804,837.3531,8.2559,2.1924,3.2395,0.2027,18.351
2023/10/26,688432,有研硅,0.27,15.6698,11.1032,38.4791,5.9748,5.2506,0.5298,1.0284,57.0924,227.7508,,2.8804,4.813,0.2973,18.1471
