时间,进出口值
01-2005,428465
02-2005,333284
03-2005,510403
04-2005,457293
05-2005,433308
06-2005,465776
07-2005,394442
08-2005,349183
09-2005,433539
10-2005,308940
11-2005,410977
12-2005,467073
01-2006,453396
02-2006,402894
03-2006,513140
04-2006,488787
05-2006,506008
06-2006,598474
07-2006,503200
08-2006,594917
09-2006,747904
10-2006,413742
11-2006,598985
12-2006,537815
01-2007,544038
02-2007,567306
03-2007,716142
04-2007,810111
05-2007,704147
06-2007,770372
07-2007,752678
08-2007,647177
09-2007,712891
10-2007,801530
11-2007,904744
12-2007,849523
01-2008,888554
02-2008,729990
03-2008,906513
04-2008,779484
05-2008,989216
06-2008,893886
07-2008,1039736
08-2008,664196
09-2008,815401
10-2008,569948
11-2008,486635
12-2008,568930
01-2009,383969
02-2009,442721
03-2009,457388
04-2009,480604
05-2009,508312
06-2009,541023
07-2009,720870
08-2009,660480
09-2009,747745
10-2009,670113
11-2009,820935
12-2009,997520
01-2010,720999
02-2010,701216
03-2010,748939
04-2010,749000
05-2010,721842
06-2010,861520
07-2010,973780
08-2010,850707
09-2010,996839
10-2010,757864
11-2010,1051221
12-2010,1151458
01-2011,984345
02-2011,642699
03-2011,988349
04-2011,1103892
05-2011,1145677
06-2011,1014218
07-2011,1123899
08-2011,1056366
09-2011,1146322
10-2011,860306
11-2011,1081990
12-2011,1130476
01-2012,671520
02-2012,847542
03-2012,961872
04-2012,956782
05-2012,983024
06-2012,967061
07-2012,1135790
08-2012,1194329
09-2012,1138354
10-2012,753148
11-2012,1300746
12-2012,1211958
01-2013,956321
02-2013,684513
03-2013,895401
04-2013,886007
05-2013,969471
06-2013,1061081
07-2013,1040774
08-2013,1356818
09-2013,1291188
10-2013,1859654
11-2013,2008370
12-2013,2832586
01-2014,1801126
02-2014,1046819
03-2014,1660189
04-2014,1555590
05-2014,1636115
06-2014,2007020
07-2014,1488161
08-2014,1615617
09-2014,1765315
10-2014,1751547
11-2014,1626293
12-2014,1962930
01-2015,1105392
02-2015,1336467
03-2015,1073511
04-2015,1239845
05-2015,1555108
06-2015,1277107
07-2015,1611843
08-2015,1785749
09-2015,1639849
10-2015,1476653
11-2015,1550476
12-2015,2203229
01-2016,1493943
02-2016,931850
03-2016,1617478
04-2016,1393009
05-2016,1453952
06-2016,1261650
07-2016,1372976
08-2016,1682429
09-2016,1326724
10-2016,1583478
11-2016,1588118
12-2016,2179181
01-2017,1341160
02-2017,1142491
03-2017,1316840
04-2017,1713205
05-2017,1521733
06-2017,1648581
07-2017,1976941
08-2017,1828941
09-2017,2134832
10-2017,2064147
11-2017,2398889
12-2017,2969473
01-2018,2054283
02-2018,1825850
03-2018,2378626
04-2018,2577827
05-2018,2318798
06-2018,2241297
07-2018,2035631
08-2018,2158790
09-2018,2445397
10-2018,2394283
11-2018,2433813
12-2018,2498589
01-2019,2340657
02-2019,1839651
03-2019,2272606
04-2019,2498157
05-2019,2764093
06-2019,2484753
07-2019,2892969
08-2019,2871925
09-2019,3335345
10-2019,2938051
11-2019,3517795
12-2019,3682356
