时间,GDP,GDP指数
1999年第1季度,19361.9,100
1999年第2季度,21567.7,111.392477
1999年第3季度,23050.8,119.0523657
1999年第4季度,26583.9,137.3000584
2000年第1季度,21329.9,108.7
2000年第2季度,24043.4,109.1
2000年第3季度,25712.5,108.8
2000年第4季度,29194.3,107.5
2001年第1季度,24086.4,109.5
2001年第2季度,26726.6,108.6
2001年第3季度,28333.3,108
2001年第4季度,31716.8,107.5
2002年第1季度,26295,108.9
2002年第2季度,29194.8,108.8
2002年第3季度,31257.3,109.6
2002年第4季度,34970.3,109.1
2003年第1季度,29825.5,111.1
2003年第2季度,32537.3,109.1
2003年第3季度,35291.9,110
2003年第4季度,39767.4,110
2004年第1季度,34544.6,110.6
2004年第2季度,38700.8,111.6
2004年第3季度,41855,109.8
2004年第4季度,46739.8,108.8
2005年第1季度,40453.3,111.1
2005年第2季度,44793.1,111.1
2005年第3季度,48047.8,110.8
2005年第4季度,54024.8,112.4
2006年第1季度,47078.9,112.5
2006年第2季度,52673.3,113.7
2006年第3季度,56064.7,112.2
2006年第4季度,63621.6,112.5
2007年第1季度,57159.3,113.8
2007年第2季度,64781.6,115
2007年第3季度,69482.1,114.3
2007年第4季度,78669.3,113.9
2008年第1季度,69373.6,111.5
2008年第2季度,78711.8,110.9
2008年第3季度,82460.1,109.5
2008年第4季度,88699,107.1
2009年第1季度,73979.2,106.4
2009年第2季度,83865.8,108.2
2009年第3季度,89846.9,110.6
2009年第4季度,100825.8,111.9
2010年第1季度,87501.3,112.2
2010年第2季度,99347.4,110.8
2010年第3季度,105963.7,109.9
2010年第4季度,119306.8,109.9
2011年第1季度,104469.9,110.2
2011年第2季度,118895.9,110
2011年第3季度,126562.2,109.4
2011年第4季度,138012.1,108.8
2012年第1季度,117357.6,108.1
2012年第2季度,131320.6,107.7
2012年第3季度,138089.6,107.5
2012年第4季度,151812,108.1
2013年第1季度,129449.6,107.9
2013年第2季度,143518.7,107.6
2013年第3季度,152222.7,107.9
2013年第4季度,167772.3,107.7
2014年第1季度,140759.8,107.5
2014年第2季度,156489.6,107.6
2014年第3季度,165484.7,107.2
2014年第4季度,180828.9,107.3
2015年第1季度,151137.9,107.1
2015年第2季度,168549.7,107.1
2015年第3季度,176597.7,107
2015年第4季度,192572.9,106.9
2016年第1季度,162410,106.9
2016年第2季度,181408.2,106.8
2016年第3季度,191010.6,106.8
2016年第4季度,211566.2,106.9
2017年第1季度,181867.7,107
2017年第2季度,201950.3,107
2017年第3季度,212789.3,106.9
2017年第4季度,235428.7,106.8
2018年第1季度,202035.7,106.9
2018年第2季度,223962.2,106.9
2018年第3季度,234474.3,106.7
2018年第4季度,258808.9,106.5
